Table,Column,Data Type,Module,Primary Key,Foreign Key
roles,role_id,INT,01 Authentication,,Y
roles,role_code,NVARCHAR(50),01 Authentication,,
roles,role_name,NVARCHAR(100),01 Authentication,,
roles,is_system,BIT,01 Authentication,,
roles,is_active,BIT,01 Authentication,,
roles,created_at,DATETIME2(0),01 Authentication,,
roles,updated_at,DATETIME2(0),01 Authentication,,
roles,created_by,INT,01 Authentication,,
roles,updated_by,INT,01 Authentication,,
permissions,permission_id,INT,01 Authentication,,Y
permissions,permission_code,NVARCHAR(100),01 Authentication,,
permissions,permission_name,NVARCHAR(150),01 Authentication,,
permissions,module_name,NVARCHAR(100),01 Authentication,,
permissions,is_system,BIT,01 Authentication,,
permissions,is_active,BIT,01 Authentication,,
permissions,created_at,DATETIME2(0),01 Authentication,,
permissions,updated_at,DATETIME2(0),01 Authentication,,
permissions,created_by,INT,01 Authentication,,
permissions,updated_by,INT,01 Authentication,,
role_permissions,role_permission_id,INT,01 Authentication,,Y
role_permissions,role_id,INT,01 Authentication,,Y
role_permissions,permission_id,INT,01 Authentication,,Y
role_permissions,granted_by,INT,01 Authentication,,
role_permissions,granted_at,DATETIME2(0),01 Authentication,,
users,user_id,INT,02 Users,,Y
users,username,NVARCHAR(50),02 Users,,
users,email,NVARCHAR(255),02 Users,,
users,password_hash,NVARCHAR(255),02 Users,,
users,full_name,NVARCHAR(150),02 Users,,
users,phone,NVARCHAR(30),02 Users,,
users,role_id,INT,02 Users,,Y
users,is_active,BIT,02 Users,,
users,is_locked,BIT,02 Users,,
users,failed_login_attempts,TINYINT,02 Users,,
users,must_change_password,BIT,02 Users,,
users,last_login_at,DATETIME2(0),02 Users,,
users,last_login_ip,NVARCHAR(45),02 Users,,
users,is_deleted,BIT,02 Users,,
users,deleted_at,DATETIME2(0),02 Users,,
users,deleted_by,INT,02 Users,,
users,created_at,DATETIME2(0),02 Users,,
users,updated_at,DATETIME2(0),02 Users,,
users,created_by,INT,02 Users,,
users,updated_by,INT,02 Users,,
user_sessions,session_id,INT,02 Users,,Y
user_sessions,user_id,INT,02 Users,,Y
user_sessions,session_token,NVARCHAR(255),02 Users,,
user_sessions,ip_address,NVARCHAR(45),02 Users,,
user_sessions,user_agent,NVARCHAR(255),02 Users,,
user_sessions,issued_at,DATETIME2(0),02 Users,,
user_sessions,expires_at,DATETIME2(0),02 Users,,
user_sessions,is_revoked,BIT,02 Users,,
user_sessions,revoked_at,DATETIME2(0),02 Users,,
user_sessions,revoked_by,INT,02 Users,,
password_history,history_id,INT,02 Users,,Y
password_history,user_id,INT,02 Users,,Y
password_history,password_hash,NVARCHAR(255),02 Users,,
password_history,changed_at,DATETIME2(0),02 Users,,
password_history,changed_by,INT,02 Users,,
password_resets,reset_id,INT,02 Users,,Y
password_resets,user_id,INT,02 Users,,Y
password_resets,reset_token,NVARCHAR(255),02 Users,,
password_resets,ip_address,NVARCHAR(45),02 Users,,
password_resets,requested_at,DATETIME2(0),02 Users,,
password_resets,expires_at,DATETIME2(0),02 Users,,
password_resets,used_at,DATETIME2(0),02 Users,,
business_information,business_info_id,INT,03 Business,,Y
business_information,business_name,NVARCHAR(150),03 Business,,
business_information,legal_name,NVARCHAR(150),03 Business,,
business_information,tax_id,NVARCHAR(50),03 Business,,Y
business_information,address_line1,NVARCHAR(255),03 Business,,
business_information,address_line2,NVARCHAR(255),03 Business,,
business_information,city,NVARCHAR(100),03 Business,,
business_information,postal_code,NVARCHAR(20),03 Business,,
business_information,country,NVARCHAR(100),03 Business,,
business_information,phone,NVARCHAR(30),03 Business,,
business_information,email,NVARCHAR(255),03 Business,,
business_information,website,NVARCHAR(255),03 Business,,
business_information,currency_code,NVARCHAR(3),03 Business,,
business_information,timezone,NVARCHAR(100),03 Business,,
business_information,is_active,BIT,03 Business,,
business_information,created_at,DATETIME2(0),03 Business,,
business_information,updated_at,DATETIME2(0),03 Business,,
business_information,created_by,INT,03 Business,,
business_information,updated_by,INT,03 Business,,
currencies,currency_id,INT,03 Business,,Y
currencies,currency_code,NVARCHAR(3),03 Business,,
currencies,currency_name,NVARCHAR(100),03 Business,,
currencies,symbol,NVARCHAR(10),03 Business,,
currencies,decimal_places,TINYINT,03 Business,,
currencies,is_base,BIT,03 Business,,
currencies,is_active,BIT,03 Business,,
currencies,created_at,DATETIME2(0),03 Business,,
currencies,updated_at,DATETIME2(0),03 Business,,
tax_rates,tax_rate_id,INT,03 Business,,Y
tax_rates,tax_name,NVARCHAR(100),03 Business,,
tax_rates,tax_code,NVARCHAR(20),03 Business,,
tax_rates,rate_percent,"DECIMAL(7,4)",03 Business,,
tax_rates,is_default,BIT,03 Business,,
tax_rates,is_active,BIT,03 Business,,
tax_rates,created_at,DATETIME2(0),03 Business,,
tax_rates,updated_at,DATETIME2(0),03 Business,,
categories,category_id,INT,04 Categories,,Y
categories,category_name,NVARCHAR(100),04 Categories,,
categories,parent_id,INT,04 Categories,,Y
categories,sort_order,INT,04 Categories,,
categories,is_active,BIT,04 Categories,,
categories,is_deleted,BIT,04 Categories,,
categories,deleted_at,DATETIME2(0),04 Categories,,
categories,deleted_by,INT,04 Categories,,
categories,created_at,DATETIME2(0),04 Categories,,
categories,updated_at,DATETIME2(0),04 Categories,,
categories,created_by,INT,04 Categories,,
categories,updated_by,INT,04 Categories,,
products,product_id,INT,05 Products,,Y
products,sku,NVARCHAR(50),05 Products,,
products,barcode,NVARCHAR(50),05 Products,,
products,product_name,NVARCHAR(200),05 Products,,
products,category_id,INT,05 Products,,Y
products,supplier_id,INT,05 Products,,Y
products,unit,NVARCHAR(20),05 Products,,
products,unit_price,"DECIMAL(19,4)",05 Products,,
products,cost_price,"DECIMAL(19,4)",05 Products,,
products,low_stock_threshold,INT,05 Products,,
products,is_service,BIT,05 Products,,
products,is_active,BIT,05 Products,,
products,is_deleted,BIT,05 Products,,
products,deleted_at,DATETIME2(0),05 Products,,
products,deleted_by,INT,05 Products,,
products,created_at,DATETIME2(0),05 Products,,
products,updated_at,DATETIME2(0),05 Products,,
products,created_by,INT,05 Products,,
products,updated_by,INT,05 Products,,
product_images,image_id,INT,05 Products,,Y
product_images,product_id,INT,05 Products,,Y
product_images,image_url,NVARCHAR(500),05 Products,,
product_images,image_alt,NVARCHAR(200),05 Products,,
product_images,is_primary,BIT,05 Products,,
product_images,sort_order,INT,05 Products,,
product_images,created_at,DATETIME2(0),05 Products,,
suppliers,supplier_id,INT,06 Suppliers,,Y
suppliers,supplier_code,NVARCHAR(30),06 Suppliers,,
suppliers,supplier_name,NVARCHAR(150),06 Suppliers,,
suppliers,contact_person,NVARCHAR(150),06 Suppliers,,
suppliers,email,NVARCHAR(255),06 Suppliers,,
suppliers,phone,NVARCHAR(30),06 Suppliers,,
suppliers,address_line1,NVARCHAR(255),06 Suppliers,,
suppliers,address_line2,NVARCHAR(255),06 Suppliers,,
suppliers,city,NVARCHAR(100),06 Suppliers,,
suppliers,postal_code,NVARCHAR(20),06 Suppliers,,
suppliers,country,NVARCHAR(100),06 Suppliers,,
suppliers,is_active,BIT,06 Suppliers,,
suppliers,is_deleted,BIT,06 Suppliers,,
suppliers,deleted_at,DATETIME2(0),06 Suppliers,,
suppliers,deleted_by,INT,06 Suppliers,,
suppliers,created_at,DATETIME2(0),06 Suppliers,,
suppliers,updated_at,DATETIME2(0),06 Suppliers,,
suppliers,created_by,INT,06 Suppliers,,
suppliers,updated_by,INT,06 Suppliers,,
supplier_contacts,contact_id,INT,06 Suppliers,,Y
supplier_contacts,supplier_id,INT,06 Suppliers,,Y
supplier_contacts,full_name,NVARCHAR(150),06 Suppliers,,
supplier_contacts,job_title,NVARCHAR(100),06 Suppliers,,
supplier_contacts,email,NVARCHAR(255),06 Suppliers,,
supplier_contacts,phone,NVARCHAR(30),06 Suppliers,,
supplier_contacts,is_primary,BIT,06 Suppliers,,
supplier_contacts,is_active,BIT,06 Suppliers,,
supplier_contacts,created_at,DATETIME2(0),06 Suppliers,,
supplier_contacts,updated_at,DATETIME2(0),06 Suppliers,,
supplier_history,history_id,INT,06 Suppliers,,Y
supplier_history,supplier_id,INT,06 Suppliers,,Y
supplier_history,history_type,NVARCHAR(50),06 Suppliers,,
supplier_history,changed_by,INT,06 Suppliers,,
supplier_history,changed_at,DATETIME2(0),06 Suppliers,,
inventory,inventory_id,INT,07 Inventory,,Y
inventory,product_id,INT,07 Inventory,,Y
inventory,quantity_on_hand,INT,07 Inventory,,
inventory,quantity_reserved,INT,07 Inventory,,
inventory,reorder_level,INT,07 Inventory,,
inventory,last_restocked_at,DATETIME2(0),07 Inventory,,
inventory,last_sold_at,DATETIME2(0),07 Inventory,,
inventory,updated_at,DATETIME2(0),07 Inventory,,
inventory_transactions,transaction_id,INT,07 Inventory,,Y
inventory_transactions,product_id,INT,07 Inventory,,Y
inventory_transactions,movement_type,NVARCHAR(30),07 Inventory,,
inventory_transactions,quantity,INT,07 Inventory,,
inventory_transactions,quantity_before,INT,07 Inventory,,
inventory_transactions,quantity_after,INT,07 Inventory,,
inventory_transactions,unit_cost,"DECIMAL(19,4)",07 Inventory,,
inventory_transactions,reference_type,NVARCHAR(50),07 Inventory,,
inventory_transactions,reference_id,NVARCHAR(100),07 Inventory,,Y
inventory_transactions,user_id,INT,07 Inventory,,Y
inventory_transactions,created_at,DATETIME2(0),07 Inventory,,
stock_reconciliations,reconciliation_id,INT,07 Inventory,,Y
stock_reconciliations,product_id,INT,07 Inventory,,Y
stock_reconciliations,system_quantity,INT,07 Inventory,,
stock_reconciliations,counted_quantity,INT,07 Inventory,,
stock_reconciliations,difference,INT,07 Inventory,,
stock_reconciliations,adjustment_type,NVARCHAR(30),07 Inventory,,
stock_reconciliations,user_id,INT,07 Inventory,,Y
stock_reconciliations,transaction_id,INT,07 Inventory,,Y
stock_reconciliations,reconciled_at,DATETIME2(0),07 Inventory,,
low_stock_alerts,alert_id,INT,07 Inventory,,Y
low_stock_alerts,product_id,INT,07 Inventory,,Y
low_stock_alerts,quantity_on_hand,INT,07 Inventory,,
low_stock_alerts,low_stock_threshold,INT,07 Inventory,,
low_stock_alerts,status,NVARCHAR(20),07 Inventory,,
low_stock_alerts,raised_at,DATETIME2(0),07 Inventory,,
low_stock_alerts,resolved_at,DATETIME2(0),07 Inventory,,
sales,sale_id,INT,08 Sales,,Y
sales,receipt_number,NVARCHAR(50),08 Sales,,
sales,sale_date,DATETIME2(0),08 Sales,,
sales,user_id,INT,08 Sales,,Y
sales,customer_id,INT,08 Sales,,Y
sales,tax_rate_id,INT,08 Sales,,Y
sales,sale_type,NVARCHAR(20),08 Sales,,
sales,subtotal,"DECIMAL(19,4)",08 Sales,,
sales,discount_amount,"DECIMAL(19,4)",08 Sales,,
sales,tax_amount,"DECIMAL(19,4)",08 Sales,,
sales,total_amount,"DECIMAL(19,4)",08 Sales,,
sales,amount_received,"DECIMAL(19,4)",08 Sales,,
sales,created_at,DATETIME2(0),08 Sales,,
sales,updated_at,DATETIME2(0),08 Sales,,
sale_items,sale_item_id,INT,08 Sales,,Y
sale_items,sale_id,INT,08 Sales,,Y
sale_items,product_id,INT,08 Sales,,Y
sale_items,quantity,"DECIMAL(12,3)",08 Sales,,
sale_items,unit_price,"DECIMAL(19,4)",08 Sales,,
sale_items,discount_rate,"DECIMAL(5,4)",08 Sales,,
sale_items,tax_amount,"DECIMAL(19,4)",08 Sales,,
sale_items,line_total,"DECIMAL(19,4)",08 Sales,,
sale_items,is_returned,BIT,08 Sales,,
sale_items,returned_qty,"DECIMAL(12,3)",08 Sales,,
sale_items,created_at,DATETIME2(0),08 Sales,,
payment_methods,payment_method_id,INT,09 Payments,,Y
payment_methods,method_code,NVARCHAR(30),09 Payments,,
payment_methods,method_name,NVARCHAR(100),09 Payments,,
payment_methods,is_cash,BIT,09 Payments,,
payment_methods,is_active,BIT,09 Payments,,
payment_methods,sort_order,INT,09 Payments,,
payment_methods,created_at,DATETIME2(0),09 Payments,,
payment_methods,updated_at,DATETIME2(0),09 Payments,,
payments,payment_id,INT,09 Payments,,Y
payments,sale_id,INT,09 Payments,,Y
payments,payment_method_id,INT,09 Payments,,Y
payments,amount,"DECIMAL(19,4)",09 Payments,,
payments,reference_number,NVARCHAR(100),09 Payments,,
payments,received_at,DATETIME2(0),09 Payments,,
payments,received_by,INT,09 Payments,,
payments,pay_status,NVARCHAR(20),09 Payments,,
payments,created_at,DATETIME2(0),09 Payments,,
receipts,receipt_id,INT,09 Payments,,Y
receipts,receipt_number,NVARCHAR(50),09 Payments,,
receipts,sale_id,INT,09 Payments,,Y
receipts,gross_total,"DECIMAL(19,4)",09 Payments,,
receipts,discount_amount,"DECIMAL(19,4)",09 Payments,,
receipts,tax_amount,"DECIMAL(19,4)",09 Payments,,
receipts,net_total,"DECIMAL(19,4)",09 Payments,,
receipts,amount_paid,"DECIMAL(19,4)",09 Payments,,
receipts,change_due,"DECIMAL(19,4)",09 Payments,,
receipts,generated_by,INT,09 Payments,,
receipts,generated_at,DATETIME2(0),09 Payments,,
customers,customer_id,INT,10 Credit Sales,,Y
customers,customer_code,NVARCHAR(30),10 Credit Sales,,
customers,full_name,NVARCHAR(150),10 Credit Sales,,
customers,phone,NVARCHAR(30),10 Credit Sales,,
customers,email,NVARCHAR(255),10 Credit Sales,,
customers,address,NVARCHAR(255),10 Credit Sales,,
customers,credit_limit,"DECIMAL(19,4)",10 Credit Sales,,
customers,is_active,BIT,10 Credit Sales,,
customers,is_deleted,BIT,10 Credit Sales,,
customers,deleted_at,DATETIME2(0),10 Credit Sales,,
customers,created_at,DATETIME2(0),10 Credit Sales,,
customers,updated_at,DATETIME2(0),10 Credit Sales,,
customers,created_by,INT,10 Credit Sales,,
customers,updated_by,INT,10 Credit Sales,,
credit_sales,credit_sale_id,INT,10 Credit Sales,,Y
credit_sales,sale_id,INT,10 Credit Sales,,Y
credit_sales,customer_id,INT,10 Credit Sales,,Y
credit_sales,total_amount,"DECIMAL(19,4)",10 Credit Sales,,
credit_sales,amount_paid,"DECIMAL(19,4)",10 Credit Sales,,
credit_sales,outstanding_balance,"DECIMAL(19,4)",10 Credit Sales,,
credit_sales,due_date,DATE,10 Credit Sales,,
credit_sales,created_at,DATETIME2(0),10 Credit Sales,,
credit_sales,updated_at,DATETIME2(0),10 Credit Sales,,
credit_payments,credit_payment_id,INT,10 Credit Sales,,Y
credit_payments,credit_sale_id,INT,10 Credit Sales,,Y
credit_payments,payment_id,INT,10 Credit Sales,,Y
credit_payments,amount,"DECIMAL(19,4)",10 Credit Sales,,
credit_payments,payment_date,DATETIME2(0),10 Credit Sales,,
credit_payments,received_by,INT,10 Credit Sales,,
credit_payments,created_at,DATETIME2(0),10 Credit Sales,,
return_reasons,return_reason_id,INT,11 Returns,,Y
return_reasons,reason_code,NVARCHAR(30),11 Returns,,
return_reasons,reason_name,NVARCHAR(100),11 Returns,,
return_reasons,is_active,BIT,11 Returns,,
return_reasons,created_at,DATETIME2(0),11 Returns,,
returns,return_id,INT,11 Returns,,Y
returns,return_number,NVARCHAR(50),11 Returns,,
returns,sale_id,INT,11 Returns,,Y
returns,customer_id,INT,11 Returns,,Y
returns,user_id,INT,11 Returns,,Y
returns,return_reason_id,INT,11 Returns,,Y
returns,total_refund_amount,"DECIMAL(19,4)",11 Returns,,
returns,created_at,DATETIME2(0),11 Returns,,
returns,updated_at,DATETIME2(0),11 Returns,,
return_items,return_item_id,INT,11 Returns,,Y
return_items,return_id,INT,11 Returns,,Y
return_items,sale_item_id,INT,11 Returns,,Y
return_items,product_id,INT,11 Returns,,Y
return_items,quantity,"DECIMAL(12,3)",11 Returns,,
return_items,unit_price,"DECIMAL(19,4)",11 Returns,,
return_items,refund_amount,"DECIMAL(19,4)",11 Returns,,
return_items,created_at,DATETIME2(0),11 Returns,,
notification_types,notification_type_id,INT,12 Notifications,,Y
notification_types,type_code,NVARCHAR(50),12 Notifications,,
notification_types,type_name,NVARCHAR(100),12 Notifications,,
notification_types,is_active,BIT,12 Notifications,,
notifications,notification_id,INT,12 Notifications,,Y
notifications,user_id,INT,12 Notifications,,Y
notifications,notification_type_id,INT,12 Notifications,,Y
notifications,title,NVARCHAR(150),12 Notifications,,
notifications,severity,NVARCHAR(20),12 Notifications,,
notifications,entity_type,NVARCHAR(100),12 Notifications,,
notifications,entity_id,NVARCHAR(100),12 Notifications,,Y
notifications,is_read,BIT,12 Notifications,,
notifications,read_at,DATETIME2(0),12 Notifications,,
notifications,is_dismissed,BIT,12 Notifications,,
notifications,created_at,DATETIME2(0),12 Notifications,,
notification_history,history_id,"INT IDENTITY(1,1)",12 Notifications,Y,
notification_history,notification_id,INT,12 Notifications,,Y
notification_history,user_id,INT,12 Notifications,,Y
notification_history,notification_type_id,INT,12 Notifications,,Y
notification_history,title,NVARCHAR(200),12 Notifications,,
notification_history,delivered_at,DATETIME2(0),12 Notifications,,
settings,setting_id,INT,15 Settings,,Y
settings,setting_key,NVARCHAR(100),15 Settings,,
settings,setting_value,NVARCHAR(MAX),15 Settings,,
settings,data_type,NVARCHAR(20),15 Settings,,
settings,category,NVARCHAR(50),15 Settings,,
settings,is_active,BIT,15 Settings,,
settings,created_at,DATETIME2(0),15 Settings,,
settings,updated_at,DATETIME2(0),15 Settings,,
settings,created_by,INT,15 Settings,,
settings,updated_by,INT,15 Settings,,
